song_id,Title,Artist,left_text,right_text,left_idx,right_idx
250,Side To Side,Ariana Grande,me walkin' side to side i've been here all night i've been here all day and boy got me walkin' side to side side to side ariana grande been tryna hide it baby what's it gonna hurt if they don't know makin' everybody think that we just as long as,side ariana grande been tryna hide it baby what's it gonna hurt if they don't know makin' everybody think that we just as long as you know you got me you got me and boy i got ya 'cause tonight i'm making deals with the devil and i know it's,5,6
1120,Outro: Tear,BTS (방탄소년단),tear you're my tear you're my you're my tear what more can i say you're my tear jhope suga 같은 곳을 향해 걸었었는데 이곳이 우리의 마지막이 돼 영원을 말하던 우리였는데 가차없이 서로를 부수네 같은 꿈을 꿨다 생각했는데 그 꿈은 비로소 꿈이 되었네 심장이 찢겨져 차라리 불 태워줘 고통과 미련 그,것 같아서 늦었지만 넌 진실했다고 너만 나를 사랑했다고 더 rm you're my tear you're my you're my tear you're my tear you're my you're my tear you're my tear you're my you're my tear what more can i say you're my tear jhope suga 같은 곳을 향해 걸었었는데 이곳이 우리의,6,5
2854,Blow,Beyoncé,i want you to turn that cherry out turn that cherry out break je ne sais quoi cherie m vle w awsè a se nèt al kole pre keep me coming keep me going keep me coming keep me going keep me humming keep me moaning keep me humming keep,out i want you to turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out break je ne sais quoi cherie m vle w awsè a se nèt,22,21
1479,Ocean Eyes (AC3 Remix),Billie Eilish,time you left her lonely with a diamond mind and those ocean eyes no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes no fair you,give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into,2,3
1562,Pop Off,Cardi B,wanna start war they talkin' shit i'm takin' tops off jeans off weaves off rings off everythin' off who wanna pop off who wanna start war they talkin' shit i'm takin' tops off jeans off weaves off rings off everythin' off casanova got beef with cardi b i'm poppin' off,war they talkin' shit i'm takin' tops off jeans off weaves off rings off everythin' off casanova got beef with cardi b i'm poppin' off shit get hectic i'ma drop it off oh you shinin' your chain and your watch is off you was never with this shit nigga knock,12,13
584,My Gospel,Charlie Puth,me love me throw away my pride for you just to make you love me want me trust me baby i know i'm all but shameless just need you and i could care less if everyone knows that i'm your fool girl there's nothing i wont do just to make,shameless just need you and i could care less if everyone knows that i'm your fool girl there's nothing i wont do just to make you love me love me love me hey i'd buy a couple redeye oneway tickets to paris to our first class ride then i'd carry,4,5
4891,Such a Rush,Coldplay,such a rush such a rush such a rush such a rush such a rush such a rush such a rush look at all the people going after money far too many people looking for their money everybody's out there trying to get money why can't you just tell me,down such a rush such a rush such a rush such a rush such a rush such a rush such a rush such a rush such a rush such a rush such a rush such a rush such a rush such a rush such a rush look at all the,5,4
643,Pound Cake / Paris Morton Music 2,Drake,if he wasn't in his feelings uh i'm back in my bag my eyes bloodshot but my jet don't lag a pair of jordan 's tryna chase this cash gucci airbag just in case we crash uh last night was mad trill i'm fresh out of advil jesus grab the,tryna chase this cash gucci airbag just in case we crash uh last night was mad trill i'm fresh out of advil jesus grab the wheel part paris morton music produced by detail 4 drake yeah uh look fuck all that happy to be here shit that y'all want me,26,27
51,If It Ain’t Me (Sad Disco) [Original],Dua Lipa,heart broke such a sad disco if it ain't me dua lipa so baby don't you let go i'm not really thinking clear too good to be true and that's what i feel like what if you left me here like what if you left me here and i feel,broke such a sad disco if it ain't me and baby if you ever uhuh find another lover you'll see i'll be dancing with my heart broke such a sad disco if it ain't me dua lipa so baby don't you let go i'm not really thinking clear too good,12,11
3517,"You Need Me, I Don’t Need You (Live Ustream Version)",Ed Sheeran,me man i dont need you you need me man i dont need you at all you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you at all,me the chance to be free suffolk sadly seems to sort of suffocate me 'cause you need me man i dont need you you need me man i dont need you you need me man i dont need you at all you need me man i dont need you you,6,5
